exp,row,version,proportion_of_valid_data_first20_idealised,bug,total_moves,imi_enjoyment
2,2,game,0.95,bug,23,2.71428571428571
2,3,game,0.45,nobug,36,3.85714285714286
2,4,game,0.1,nobug,62,4.57142857142857
2,5,game,0.4,nobug,20,3.42857142857143
2,6,control,0.15,nobug,68,4.85714285714286
2,7,game,0.7,nobug,34,5
2,8,game,0.15,nobug,50,4.71428571428571
2,9,control,0.45,nobug,62,4.71428571428571
2,10,control,0.25,nobug,37,4.28571428571429
2,11,game,0.25,bug,42,3
2,12,control,0,nobug,36,3.71428571428571
2,13,control,0.3,nobug,67,3
2,14,control,0.05,nobug,54,1.71428571428571
2,15,game,0.15,nobug,20,4.85714285714286
2,16,control,0.2,nobug,62,3.85714285714286
2,17,control,0.9,nobug,39,2.42857142857143
2,18,control,0.15,nobug,57,5
2,19,game,0.05,nobug,20,4.71428571428571
2,20,game,0.35,bug,26,2.85714285714286
2,21,game,0.65,nobug,36,4.42857142857143
2,22,game,0.05,bug,42,4.42857142857143
2,23,game,0.4,nobug,32,5
2,24,game,0,nobug,11,3
2,25,game,1,nobug,45,3.57142857142857
2,26,game,0.05,nobug,44,4
2,27,control,0.4,nobug,50,3.85714285714286
2,28,control,0.1,nobug,54,2.28571428571429
2,29,game,0.6,bug,35,4.14285714285714
2,30,game,0.75,bug,31,5
2,31,game,0.1,nobug,32,3.71428571428571
2,32,control,0.9,nobug,56,2.14285714285714
2,33,control,0.1,nobug,48,3.42857142857143
2,34,game,0.45,bug,26,5
2,35,control,0.15,nobug,101,3
2,36,game,0.05,nobug,40,2.85714285714286
2,37,control,0.5,nobug,42,3
2,38,control,0.5,nobug,36,3.57142857142857
2,39,control,0.85,nobug,50,4
2,40,control,0.75,nobug,53,2
2,41,control,0.45,nobug,47,2
2,42,control,0.4,nobug,11,3.42857142857143
2,43,game,0,nobug,55,2.71428571428571
2,44,control,0.75,nobug,35,2.57142857142857
2,45,control,0.9,nobug,56,2.85714285714286
2,46,control,0.5,nobug,41,1.28571428571429
2,47,game,0.3,bug,36,4.28571428571429
2,48,game,0.05,nobug,43,5
2,49,control,0.05,nobug,5,2
2,50,game,0.05,bug,23,4.28571428571429
2,51,control,0.7,nobug,39,3.85714285714286
2,52,game,0.35,nobug,38,1
2,53,control,0.35,nobug,53,4.28571428571429
2,54,game,0.5,nobug,32,3.57142857142857
2,55,control,0.8,nobug,87,1.28571428571429
2,56,game,0.65,nobug,23,4.14285714285714
2,57,game,0.55,nobug,43,3.57142857142857
2,58,game,0.1,nobug,20,5
2,59,game,0.3,nobug,37,4.85714285714286
2,60,control,0.35,nobug,90,1.42857142857143
2,61,control,0.25,bug,52,1.85714285714286
2,62,control,0.25,nobug,44,3.57142857142857
2,63,control,0.15,nobug,70,2.57142857142857
2,64,game,0.2,nobug,27,3.71428571428571
2,65,control,0.1,bug,56,3.71428571428571
2,66,game,0.3,nobug,33,5
2,67,game,0.4,nobug,29,4.57142857142857
2,68,control,0.05,bug,69,2.57142857142857
2,69,game,0.1,bug,17,4.57142857142857
2,70,game,0.15,nobug,12,2
2,71,control,0.6,nobug,60,1.57142857142857
2,72,control,0.15,nobug,46,1.57142857142857
2,73,control,0.7,nobug,35,2
2,74,control,0.3,nobug,58,1.28571428571429
2,75,game,0.75,nobug,27,5
2,76,control,0.8,nobug,51,2.71428571428571
2,77,control,0.2,nobug,65,3
2,78,control,0,nobug,59,2.14285714285714
2,79,game,0.25,nobug,41,2.57142857142857
2,80,game,0.05,nobug,16,3.71428571428571
2,81,control,0.05,nobug,54,4
2,82,control,0.2,nobug,58,2.42857142857143
2,83,game,0,nobug,44,4
2,84,control,0.8,nobug,41,3.42857142857143
2,85,game,0.55,nobug,31,2
2,86,control,0.2,nobug,98,1.57142857142857
2,87,game,0.15,nobug,36,1.71428571428571
2,88,game,0.55,bug,32,2
2,89,game,0.15,nobug,15,4.57142857142857
2,90,game,0.15,nobug,33,3.85714285714286
2,91,control,0,nobug,35,3
2,92,control,0.6,nobug,44,2.71428571428571
2,93,control,0.85,nobug,36,1.42857142857143
2,94,game,0,nobug,67,4.85714285714286
2,95,game,0.1,nobug,45,4.28571428571429
2,96,game,0.45,nobug,31,1.85714285714286
2,97,control,0.5,nobug,58,3.71428571428571
2,98,game,0.2,bug,31,4.71428571428571
2,99,control,0.6,nobug,55,3
2,100,control,0.65,nobug,59,2.14285714285714
2,101,game,0.35,nobug,19,2.85714285714286
2,102,game,0.3,nobug,34,4.71428571428571
2,103,game,0.2,nobug,11,3.71428571428571
2,104,control,0.65,nobug,36,4.42857142857143
2,105,control,0.85,nobug,31,4.57142857142857
2,106,control,0,nobug,55,3
2,107,control,0.75,nobug,18,4.42857142857143
2,108,control,0.1,nobug,90,4.57142857142857
2,109,game,0,bug,38,4.85714285714286
2,110,control,0.45,nobug,34,3.85714285714286
2,111,control,0.15,nobug,58,2
2,112,game,0.4,nobug,32,3.42857142857143
2,113,game,0.3,nobug,41,3.57142857142857
2,114,control,0.45,bug,73,1.71428571428571
2,115,control,0.35,nobug,55,2.42857142857143
2,116,game,0.35,nobug,47,1.71428571428571
2,117,control,0.1,nobug,38,4.85714285714286
2,118,game,0.25,nobug,45,3.14285714285714
2,119,control,0.3,nobug,59,2.28571428571429
2,120,game,0.35,nobug,24,4.57142857142857
2,121,game,0.25,nobug,33,5
2,122,game,0.55,nobug,43,2.14285714285714
2,123,control,0.7,bug,48,2.14285714285714
2,124,game,0.35,nobug,25,3.71428571428571
2,125,game,0.05,bug,45,3.14285714285714
2,126,control,0.55,nobug,73,2.57142857142857
2,127,control,0.85,nobug,35,3.85714285714286
2,128,game,0.15,nobug,25,2.14285714285714
2,129,game,0,nobug,30,2.42857142857143
2,130,control,0.95,nobug,43,2.42857142857143
2,131,game,0.95,nobug,37,3.85714285714286
2,132,game,0.05,nobug,45,4.85714285714286
2,133,control,0.2,nobug,48,1
2,134,game,0.75,nobug,35,3.28571428571429
2,135,control,0.05,nobug,70,2.57142857142857
2,136,control,0.75,nobug,64,1.71428571428571
2,137,control,0.45,nobug,57,4.85714285714286
2,138,control,0.6,nobug,42,4.14285714285714
2,139,game,0.05,nobug,30,3.71428571428571
2,140,control,0.3,nobug,75,2.57142857142857
2,141,control,0.3,nobug,60,3.57142857142857
2,142,control,0.35,bug,82,3.57142857142857
2,143,game,0.3,nobug,37,4.57142857142857
2,144,control,0.3,nobug,54,2.28571428571429
2,145,game,0.75,nobug,20,4.85714285714286
2,146,game,0.4,nobug,24,4.28571428571429
2,147,game,0.65,nobug,28,5
2,148,game,0.1,nobug,32,5
2,149,game,0.15,nobug,28,4
2,150,control,0.5,nobug,60,3.85714285714286
2,151,control,0.6,nobug,33,2.71428571428571
2,152,game,0.6,bug,35,3
2,153,control,0.25,nobug,55,3.71428571428571
2,154,game,0.15,nobug,44,3
2,155,game,0.2,nobug,54,1
2,156,game,0.35,bug,24,4.57142857142857
2,157,control,0.15,bug,54,1.57142857142857
2,158,control,0.65,nobug,56,4
2,159,game,0.1,nobug,42,4
2,160,game,0.3,nobug,25,4
2,161,game,0.15,bug,35,3
2,162,game,0.5,bug,21,3.14285714285714
2,163,game,0.1,nobug,43,4.71428571428571
2,164,control,0.65,nobug,52,1.71428571428571
2,165,game,0,nobug,22,2.57142857142857
2,166,control,0,nobug,30,2.42857142857143
2,167,game,0.6,nobug,39,2.28571428571429
2,168,game,0.15,nobug,13,3.28571428571429
2,169,control,0.3,nobug,59,3.71428571428571
2,170,game,0.4,nobug,17,4.28571428571429
2,171,game,0.2,nobug,22,4.14285714285714
2,172,game,0.35,nobug,31,4
1,2,control,0,,20,1.71428571428571
1,3,control,1,,20,3.71428571428571
1,4,control,0.85,,20,1.71428571428571
1,5,control,0.95,,20,1
1,6,game,0.95,,20,2.85714285714286
1,7,control,0.95,,20,3.71428571428571
1,8,game,0.9,,20,3.28571428571429
1,9,control,0.9,,20,2.28571428571429
1,10,game,0.25,,20,3.42857142857143
1,11,control,0.45,,20,2.14285714285714
1,12,control,0.8,,20,2.42857142857143
1,13,game,0,,20,4.28571428571429
1,14,control,0.9,,20,2.14285714285714
1,15,control,0.95,,20,4.42857142857143
1,16,control,0.95,,20,2.57142857142857
1,17,control,0.6,,20,2.42857142857143
1,18,control,0.85,,20,4.14285714285714
1,19,game,0.45,,20,4.57142857142857
1,20,game,0.05,,20,3.85714285714286
1,21,control,0.7,,20,4.28571428571429
1,22,game,0.1,,20,3.85714285714286
1,23,game,0.05,,20,4.42857142857143
1,24,game,0.4,,20,4.28571428571429
1,25,control,0,,20,5
1,26,control,0.95,,20,2.71428571428571
1,27,control,1,,20,3.57142857142857
1,28,game,0.55,,20,4.28571428571429
1,29,control,0.05,,20,3.42857142857143
1,30,game,0.6,,20,4
1,31,control,0.75,,20,3.85714285714286
1,32,game,0.55,,20,3.14285714285714
1,33,control,0.95,,20,2.28571428571429
1,34,control,0.2,,20,3.28571428571429
1,35,game,0.05,,20,3.85714285714286
1,36,control,0.1,,20,1.42857142857143
1,37,game,0.2,,20,4
1,38,game,0.35,,20,4
1,39,game,0.8,,20,3.57142857142857
1,40,control,0.85,,20,4.14285714285714
1,41,game,0.7,,20,5
1,42,game,0.9,,20,4.42857142857143
1,43,game,0.1,,20,3.85714285714286
1,44,game,0.95,,20,3.71428571428571
1,45,control,0.95,,20,4
1,46,control,0.55,,20,3.28571428571429
1,47,game,0.15,,20,3.71428571428571
1,48,game,0.85,,20,2.14285714285714
1,49,game,0.7,,20,2.42857142857143
1,50,game,0.95,,20,4.71428571428571
1,51,game,0.5,,20,4.14285714285714
1,52,game,0.05,,20,3.42857142857143
1,53,control,0.9,,20,3.85714285714286
1,54,game,0.3,,20,3.14285714285714
1,55,game,0.75,,20,4
1,56,control,0.85,,20,3.57142857142857
1,57,control,0.95,,20,2.42857142857143
1,58,control,1,,20,3.42857142857143
1,59,game,0.85,,20,1.85714285714286
1,60,game,0.95,,20,2.71428571428571
1,61,game,0,,20,2.57142857142857
1,62,game,0.1,,20,4.42857142857143
1,63,game,0.65,,20,3.71428571428571
1,64,game,0.35,,20,3.57142857142857
1,65,control,0.55,,20,2.71428571428571
1,66,control,0.95,,20,2.28571428571429
1,67,control,0.9,,20,3.28571428571429
